Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR2713020_1	0.7891392577885592	1.325773817223759
ERR2713020_2	0.2025415439087102	0.46279810137590655
ERR2713021_1	0.8783481021832397	1.4410620339812863
ERR2713021_2	0.18273557232826965	0.5276127271338448
ERR2713022_1	0.722694460429409	1.5541330967906717
ERR2713022_2	0.24063899010765685	0.5057631164031497
ERR2713023_1	0.33319866190825176	0.46163127964376127
ERR2713023_2	0.1331889726284467	0.13171019871741746
ERR2713024_1	0.3675222950352813	0.7795186141668271
ERR2713024_2	0.17980929488285266	0.3746732664696595
ERR2713025_1	0.5534105822553098	1.0798142518335774
ERR2713025_2	0.21491367103086984	0.36206492501029225
