"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","Regulon","Operon"
"SAUSA300_RS00110",9130.5043187006,1.33078287724846,0.144776258778995,9.19199659165068,3.85616298601116e-20,1.31455847423609e-19,"walK","GraRS","walRKHI"
"SAUSA300_RS00200",1355.19706515625,1.30839632284297,0.151926107390695,8.61205717249294,7.17610380234098e-18,2.27256770921937e-17,"ccrB","CodY","-"
"SAUSA300_RS00310",1308.72350204938,2.64496715564725,0.166664781430537,15.8699824458692,1.02269485165837e-56,9.11984075653444e-56,"arcC","ArcR","arcCDBA"
"SAUSA300_RS00325",797.168428440723,1.39479721776909,0.168521224720267,8.27668574142134,1.26650889576751e-16,3.82951936298272e-16,"arcD","ArcR","arcCDBA"
"SAUSA300_RS00435",105.604213661826,1.05767572120146,0.329594281053266,3.2090232810518,0.00133186707258853,0.00206127526551029,"cstR","CstR","cstR tauE"
"SAUSA300_RS00440",2341.2869542985,4.8738360752208,0.200345914197691,24.3271049211992,1.01306460344227e-130,3.27091778283832e-129,"cstA","CstR","cstAB sqr"
"SAUSA300_RS00445",4103.75266806798,5.09344330879716,0.18292588183156,27.8443009693251,1.26264941894737e-170,6.69204192042107e-169,"cstB","CstR","cstAB sqr"
"SAUSA300_RS00550",661.758433604805,2.17124828847622,0.19916310819282,10.9018598282475,1.12925149691494e-27,4.83546868114951e-27,"norC","SigB","norC hipO"
"SAUSA300_RS00585",54847.5775932023,-1.55031607088245,0.172383812960173,-8.99339702644023,2.39704474616663e-19,7.88442469787127e-19,"spa","TraP","spa"
"SAUSA300_RS00590",3241.77738183039,-1.11061377201135,0.153978092765592,-7.21280379607043,5.48113653872259e-13,1.42165397389397e-12,"sarS","SigB","sarS"
"SAUSA300_RS00595",1696.44006337049,1.55834086981242,0.138967270426174,11.2137258293512,3.49178861540091e-29,1.57945800654769e-28,"sirC","Fur","sirABC"
"SAUSA300_RS00610",274.588669628499,5.25809042072078,0.306454391876939,17.1578236765236,5.49338915447716e-66,5.82299250374578e-65,"sbnA","Fur","sbnABCDEFGHI"
"SAUSA300_RS00615",355.897732793463,5.64843606608153,0.286056996334271,19.7458413479287,8.71020244678117e-87,1.31542788564561e-85,"sbnB","Fur","sbnABCDEFGHI"
"SAUSA300_RS00620",912.83616902968,4.71262438373761,0.192811592436558,24.4416029357168,6.18118608013847e-132,2.04270019989517e-130,"sbnC","Fur","sbnABCDEFGHI"
"SAUSA300_RS00625",594.24713385072,4.1133580461248,0.21649698304686,18.9996090857048,1.7181939469794e-80,2.3429159209054e-79,"sbnD","Fur","sbnABCDEFGHI"
"SAUSA300_RS00630",767.691304711897,3.89462728519653,0.20390434402175,19.1002663718685,2.5120235378187e-81,3.47599710233139e-80,"sbnE","Fur","sbnABCDEFGHI"
"SAUSA300_RS00635",838.498556522221,3.52854589982757,0.202591335440812,17.4170622457763,6.12418861651105e-68,6.71986164991388e-67,"sbnF","Fur","sbnABCDEFGHI"
"SAUSA300_RS00640",329.530321802641,2.94768916552809,0.225259424983665,13.0857528635787,3.97204962303433e-39,2.35390029348173e-38,"sbnG","Fur","sbnABCDEFGHI"
"SAUSA300_RS00645",552.735479206842,2.72263528335064,0.211596907628393,12.867084466717,6.89562357555505e-38,3.96110564902538e-37,"sbnH","Fur","sbnABCDEFGHI"
"SAUSA300_RS00740",6401.08712319295,1.63799957020236,0.139510374304728,11.7410592464223,7.84970866922319e-32,3.85486567339999e-31,"deoB","GraRS","deoC1 deoB"
"SAUSA300_RS00755",24.6588416159667,-1.3305268566204,0.605999508178746,-2.19559065422203,0.0281212557758361,0.0376693407126006,"phnC","GraRS","phnE1 phnE2 phnC phnD"
"SAUSA300_RS00800",243.515604301484,-1.64343898932348,0.256170081971268,-6.41542125714667,1.4043398797327e-10,3.33738639777425e-10,"adhE","GraRS","adhE"
"SAUSA300_RS00885",694.236585751945,3.45929351152688,0.182787887953992,18.9251790709326,7.0748665975388e-80,9.46347632023166e-79,"isdI","GraRS","isdl SACOL0153"
"SAUSA300_RS00965",172.146137974388,-1.52789408816716,0.236945204588411,-6.44830137339651,1.13110675028704e-10,2.69947226980144e-10,"argB","ArgR","argBJCD"
"SAUSA300_RS00970",204.918178772229,-1.39397647119847,0.218677918804642,-6.37456437677089,1.83483732115707e-10,4.33478388152246e-10,"argJ","ArgR","argBJCD"
"SAUSA300_RS00975",115.699094522853,-1.46753251339459,0.278355873738249,-5.27214494771028,1.34838516942524e-07,2.77277740916215e-07,"argC","ArgR","argBJCD"
"SAUSA300_RS00980",107.814778337561,-1.17645984943222,0.32992949694659,-3.56579166252199,0.000362759472339816,0.000590035528548084,"rocD","CcpA","rocD gluD"
"SAUSA300_RS01075",1880.12792331855,2.92374281384509,0.151197184542423,19.3372834467347,2.60860123806503e-83,3.71957404960643e-82,"ggt","MgrA","oppB SACOL0186 rlp ggt"
"SAUSA300_RS01180",1989.45777721999,-3.6763228863476,0.168111658906995,-21.8683398299071,5.20159275059786e-106,1.09039358480816e-104,"coa","SaeRS","coa"
"SAUSA300_RS01365",143.072160970904,-2.19233635729031,0.974362187168162,-2.25002200019893,0.0244475487873457,0.0329367695653017,"lrgA","CidR","lrgA lrgB"
"SAUSA300_RS01410",145.811403536495,-1.08520525466072,0.293757612372623,-3.69422002683003,0.000220562759678975,0.000365954395710716,"rbsD","TraP","rbsKDU"
"SAUSA300_RS01415",290.158963251717,-1.76990407079164,0.268566549306464,-6.59018807577554,4.39269760079205e-11,1.06097055551375e-10,"rbsU","TraP","rbsKDU"
