"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","Regulon","Operon"
"SAUSA300_RS02740",4238.66627105284,1.79580095309076,0.16319603235541,11.0039498336568,3.65752397394565e-28,1.59782034880456e-27,"radA","GraRS","radA pilT"
"SAUSA300_RS02740",4238.66627105284,1.79580095309076,0.16319603235541,11.0039498336568,3.65752397394565e-28,1.59782034880456e-27,"radA","GraRS","radA pilT"
"SAUSA300_RS02755",1462.88544070706,1.84807855491849,0.162384180240697,11.3809026974126,5.20580681280198e-30,2.42908826198684e-29,"cysE","-","cysE cysS mrnC  yacO SACOL0579"
"SAUSA300_RS02760",4811.48992229225,2.2228462220888,0.159557600751852,13.9313088916762,4.08794557840257e-44,2.65811090966037e-43,"cysS","-","cysE cysS mrnC  yacO SACOL0579"
"SAUSA300_RS02795",29692.0195342882,-2.53045562476291,0.1475855789435,-17.1456834934505,6.76981597222411e-66,7.1490274684126e-65,"rplK","-","secE nusG rplK rplA rplJ rplL rsmC"
"SAUSA300_RS02800",37994.468220837,-2.73071463092546,0.144152109058829,-18.9432860105505,5.01662068908175e-80,6.77484976713012e-79,"rplA","-","secE nusG rplK rplA rplJ rplL rsmC"
"SAUSA300_RS02805",35024.5680489259,-3.28954114409915,0.13739321664101,-23.9425295114406,1.10536698612271e-126,3.33868372475128e-125,"rplJ","-","secE nusG rplK rplA rplJ rplL rsmC"
"SAUSA300_RS02810",17231.4685032911,-2.5560269583322,0.155815667435512,-16.4041716754194,1.78545297229496e-60,1.70011437260222e-59,"rplL","-","secE nusG rplK rplA rplJ rplL rsmC"
"SAUSA300_RS02810",17231.4685032911,-2.5560269583322,0.155815667435512,-16.4041716754194,1.78545297229496e-60,1.70011437260222e-59,"rplL","-","-"
"SAUSA300_RS02835",44076.2162563253,-1.65178987088672,0.13654544359807,-12.0969973611779,1.09545119725993e-33,5.66689210516231e-33,"rpsL","Translation","rplL3 rpsL rpsG fusA tuf"
"SAUSA300_RS02835",44076.2162563253,-1.65178987088672,0.13654544359807,-12.0969973611779,1.09545119725993e-33,5.66689210516231e-33,"rpsL","Translation","rplL3 rpsL rpsG fusA tuf"
"SAUSA300_RS02865",21452.2736685261,2.89519153182251,0.145907267330796,19.842682169207,1.27473045779441e-87,1.9674273933761e-86,"hchA","SigB","hchA"
"SAUSA300_RS02865",21452.2736685261,2.89519153182251,0.145907267330796,19.842682169207,1.27473045779441e-87,1.9674273933761e-86,"hchA","SigB","hchA"
"SAUSA300_RS02900",359.469638442345,-3.0297762392835,0.253129958866017,-11.969251892808,5.14907918632081e-33,2.60139630114661e-32,"tadA","-","tadA"
"SAUSA300_RS02915",669.449889307128,-3.23673008830489,0.241119086419447,-13.4237821500133,4.38737651177614e-41,2.66756290510372e-40,"sdrC","TraP","-"
"SAUSA300_RS02915",669.449889307128,-3.23673008830489,0.241119086419447,-13.4237821500133,4.38737651177614e-41,2.66756290510372e-40,"sdrC","TraP","-"
"SAUSA300_RS02920",2532.3542349896,-3.94100382778935,0.195978213880523,-20.1093976200434,6.10608416587385e-90,9.91444533060095e-89,"sdrD","TraP","sdrD"
"SAUSA300_RS02920",2532.3542349896,-3.94100382778935,0.195978213880523,-20.1093976200434,6.10608416587385e-90,9.91444533060095e-89,"sdrD","TraP","sdrD"
"SAUSA300_RS02925",1422.33447512699,-2.27180473524885,0.171133716562848,-13.2750271593298,3.23153910578568e-40,1.93547832583198e-39,"sdrE","GraRS","sdrE"
"SAUSA300_RS02925",1422.33447512699,-2.27180473524885,0.171133716562848,-13.2750271593298,3.23153910578568e-40,1.93547832583198e-39,"sdrE","GraRS","sdrE"
"SAUSA300_RS02940",4872.26944846183,1.12023153214356,0.126875511597694,8.82937548812155,1.05261790773148e-18,3.41827017666788e-18,"folE2","-","SACOL0613 bshB folE2"
"SAUSA300_RS02955",1001.1012080343,1.2230835012637,0.148778001726432,8.22086254063736,2.02044738625295e-16,6.07648469805625e-16,"nagB","SigB","nagB hxlAB"
"SAUSA300_RS02955",1001.1012080343,1.2230835012637,0.148778001726432,8.22086254063736,2.02044738625295e-16,6.07648469805625e-16,"nagB","SigB","nagB hxlAB"
"SAUSA300_RS02960",3601.14160261221,1.36330247520871,0.142574321367374,9.56204779467865,1.15449352005858e-21,4.13117490171281e-21,"hxlA","SigB","nagB hxlAB"
"SAUSA300_RS02960",3601.14160261221,1.36330247520871,0.142574321367374,9.56204779467865,1.15449352005858e-21,4.13117490171281e-21,"hxlA","SigB","nagB hxlAB"
"SAUSA300_RS02965",3670.26740046987,1.44345025341945,0.146860818787054,9.82869539568908,8.47089783044088e-23,3.11857824452273e-22,"hxlB","SigB","nagB hxlAB"
"SAUSA300_RS02965",3670.26740046987,1.44345025341945,0.146860818787054,9.82869539568908,8.47089783044088e-23,3.11857824452273e-22,"hxlB","SigB","nagB hxlAB"
"SAUSA300_RS03045",4937.6983479538,1.42112061724926,0.128294658232748,11.0770053626949,1.622074300016e-28,7.14170330524288e-28,"hemQ","-","hemQ"
"SAUSA300_RS03065",2213.84688597747,-1.10410106588323,0.164043997179562,-6.73051793949331,1.6906020277201e-11,4.14389275380956e-11,"mvaD","SigB","mvaK1 mvaD mvaK2"
"SAUSA300_RS03065",2213.84688597747,-1.10410106588323,0.164043997179562,-6.73051793949331,1.6906020277201e-11,4.14389275380956e-11,"mvaD","SigB","mvaK1 mvaD mvaK2"
"SAUSA300_RS03080",55529.1739155617,7.54468416304699,0.158402209589464,47.6299174272933,0,0,"merA","HypR","hypR merA "
"SAUSA300_RS03080",55529.1739155617,7.54468416304699,0.158402209589464,47.6299174272933,0,0,"merA","HypR","hypR merA "
"SAUSA300_RS03085",12856.5991671943,7.85781522503992,0.182431058864996,43.0727929439631,0,0,"hypR","HypR","hypR merA "
"SAUSA300_RS03085",12856.5991671943,7.85781522503992,0.182431058864996,43.0727929439631,0,0,"hypR","HypR","hypR merA "
"SAUSA300_RS03205",2586.65385736612,-1.65406000568233,0.161684766487312,-10.2301536602221,1.45288666493865e-24,5.72392516383265e-24,"argS","-","SACOL0662 argS"
"SAUSA300_RS03250",11283.5851137032,1.4581038700514,0.166130886269553,8.77683796669559,1.68134969684642e-18,5.43488066564051e-18,"sarA","SigB","sarA"
"SAUSA300_RS03250",11283.5851137032,1.4581038700514,0.166130886269553,8.77683796669559,1.68134969684642e-18,5.43488066564051e-18,"sarA","SigB","sarA"
"SAUSA300_RS03345",7424.55121208892,2.21857865733925,0.136739286301605,16.2248810663363,3.36368498086858e-59,3.13906681437204e-58,"tagH","GraRS","tagG tagH SACOL1930 recX"
"SAUSA300_RS03345",7424.55121208892,2.21857865733925,0.136739286301605,16.2248810663363,3.36368498086858e-59,3.13906681437204e-58,"tagH","-","tagH"
"SAUSA300_RS03370",1910.73522267383,-1.03094272530127,0.145408377511115,-7.08998162930789,1.34129804221634e-12,3.42830409516443e-12,"pbp4","-","pbp4"
"SAUSA300_RS03410",3573.67934627865,5.09122643704559,0.217071100722234,23.4541881443738,1.19802623624422e-121,3.26723854136894e-120,"dhaK","CcpA","dhaKLM"
"SAUSA300_RS03410",3573.67934627865,5.09122643704559,0.217071100722234,23.4541881443738,1.19802623624422e-121,3.26723854136894e-120,"dhaK","CcpA","dhaKLM"
"SAUSA300_RS03415",2741.84254779037,5.27284448335644,0.183554833306096,28.7262633643836,1.79317367851922e-181,1.07170741765117e-179,"dhaL","CcpA","dhaKLM"
"SAUSA300_RS03415",2741.84254779037,5.27284448335644,0.183554833306096,28.7262633643836,1.79317367851922e-181,1.07170741765117e-179,"dhaL","CcpA","dhaKLM"
"SAUSA300_RS03420",1520.82470850365,4.88056942434761,0.190289903173313,25.6480735076232,4.44254279272285e-145,1.70946612393952e-143,"dhaM","CcpA","dhaKLM"
"SAUSA300_RS03420",1520.82470850365,4.88056942434761,0.190289903173313,25.6480735076232,4.44254279272285e-145,1.70946612393952e-143,"dhaM","CcpA","dhaKLM"
"SAUSA300_RS03460",842.961125126261,1.10163668125627,0.165140981013071,6.67088613921384,2.54263437174123e-11,6.18377484867628e-11,"graR","GraRS","graXRS"
"SAUSA300_RS03460",842.961125126261,1.10163668125627,0.165140981013071,6.67088613921384,2.54263437174123e-11,6.18377484867628e-11,"graR","GraRS","graXRS"
"SAUSA300_RS03465",1667.87526246293,1.13124804806617,0.163112867316684,6.93536976374677,4.0516000455085e-12,1.01330237908729e-11,"graS","GraRS","graXRS"
"SAUSA300_RS03465",1667.87526246293,1.13124804806617,0.163112867316684,6.93536976374677,4.0516000455085e-12,1.01330237908729e-11,"graS","GraRS","graXRS"
"SAUSA300_RS03605",19258.0030235027,-1.43705117174925,0.165323051926871,-8.69238230845695,3.54917421917456e-18,1.13420140860766e-17,"mgrA","GraRS","mgrA"
"SAUSA300_RS03605",19258.0030235027,-1.43705117174925,0.165323051926871,-8.69238230845695,3.54917421917456e-18,1.13420140860766e-17,"mgrA","GraRS","mgrA"
"SAUSA300_RS03650",1953.8342410758,1.30996097839197,0.185640466800965,7.05644087717391,1.70821270755314e-12,4.33848959811643e-12,"norA","MgrA","norA"
"SAUSA300_RS03650",1953.8342410758,1.30996097839197,0.185640466800965,7.05644087717391,1.70821270755314e-12,4.33848959811643e-12,"norA","MgrA","norA"
"SAUSA300_RS03660",256.474675386704,1.09488376820041,0.204399613659868,5.35658433299367,8.48099243213564e-08,1.76598278294062e-07,"ybaK","-","ybaK"
"SAUSA300_RS03700",1914.93357604844,2.0229821411314,0.159555009356883,12.6789008335459,7.74097685022956e-37,4.34020039367162e-36,"csbB","SigB","csbB"
"SAUSA300_RS03700",1914.93357604844,2.0229821411314,0.159555009356883,12.6789008335459,7.74097685022956e-37,4.34020039367162e-36,"csbB","SigB","csbB"
"SAUSA300_RS03740",468.738290751487,-1.74866562464223,0.205039596604299,-8.52842891618118,1.48348609595365e-17,4.63527524308545e-17,"queC","SigB","queEDC"
"SAUSA300_RS03740",468.738290751487,-1.74866562464223,0.205039596604299,-8.52842891618118,1.48348609595365e-17,4.63527524308545e-17,"queC","SigB","queEDC"
