"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","Regulon","Operon"
"SAUSA300_RS00040",2155.70701647131,-1.89872108290662,0.196786918431533,-9.64861433900256,4.9824396556682e-22,1.80356610731598e-21,"SAUSA300_RS00040",NA,NA
"SAUSA300_RS00055",490.931222625458,-1.05903705294977,0.20582393978846,-5.14535410233727,2.67016656860415e-07,5.38083481475742e-07,"SAUSA300_RS00055",NA,NA
"SAUSA300_RS00090",6329.68549763572,-3.93728696926631,0.193871824523414,-20.3087115879018,1.07692412342058e-91,1.8114250674781e-90,"SAUSA300_RS00090",NA,NA
"SAUSA300_RS00095",15.0369389836467,-3.46514116581748,0.866363430692053,-3.99963923113597,6.34391169289642e-05,0.00010899111893178,"SAUSA300_RS00095",NA,NA
"SAUSA300_RS00100",13.0694324510807,-3.5467605382321,0.964695161432358,-3.67656092828946,0.000236399412722984,0.000390615264905213,"SAUSA300_RS00100",NA,NA
"SAUSA300_RS00105",3728.40087765621,1.27260003393133,0.139318874733745,9.13444094609165,6.57455820237628e-20,2.22237472809567e-19,"yycF",NA,NA
"SAUSA300_RS00110",9130.5043187006,1.33078287724846,0.144776258778995,9.19199659165068,3.85616298601116e-20,1.31455847423609e-19,"walK","GraRS","walRKHI"
"SAUSA300_RS00115",8299.7001082456,1.22155294390321,0.144477906353151,8.45494632873021,2.79215752589387e-17,8.62835037429688e-17,"yycH",NA,NA
"SAUSA300_RS00120",5670.48021579897,1.05401994311833,0.149422313292317,7.05396617074406,1.73888671405284e-12,4.40842308643901e-12,"SAUSA300_RS00120",NA,NA
"SAUSA300_RS00130",666.804384061686,-2.10365279390291,0.225539565650972,-9.3272006968319,1.08703895171722e-20,3.75121918350575e-20,"adsA",NA,NA
"SAUSA300_RS00155",802.030434323665,1.28449959269392,0.174155320856018,7.37559775021671,1.63609304806713e-13,4.34795210219544e-13,"SAUSA300_RS00155",NA,NA
"SAUSA300_RS00190",12.8088573104664,1.77497203571314,0.84731845387959,2.09481102127085,0.0361877949951701,0.0478075998604743,"SAUSA300_RS00190",NA,NA
"SAUSA300_RS00200",1355.19706515625,1.30839632284297,0.151926107390695,8.61205717249294,7.17610380234098e-18,2.27256770921937e-17,"ccrB","CodY","-"
"SAUSA300_RS00220",544.656634089195,1.44822542541064,0.194670894412825,7.43935260470672,1.01179923312033e-13,2.71975506778469e-13,"SAUSA300_RS00220",NA,NA
"SAUSA300_RS00225",3726.10384821785,1.57999456678312,0.151483237292229,10.4301610859762,1.80581893562405e-25,7.23615604874173e-25,"SAUSA300_RS00225",NA,NA
"SAUSA300_RS00280",15963.8938494839,6.10249314351711,0.202884196095076,30.0787013526542,9.20351089736836e-199,6.01224700249017e-197,"SAUSA300_RS00280",NA,NA
"SAUSA300_RS00285",62.515314541892,3.96554137211812,0.420143265548159,9.43854560406745,3.77989368349585e-21,1.31897159713538e-20,"SAUSA300_RS00285",NA,NA
"SAUSA300_RS00290",184.182439266777,3.16900915309642,0.253030317716469,12.5242270637601,5.50247822856366e-36,3.00709364669948e-35,"SAUSA300_RS00290",NA,NA
"SAUSA300_RS00295",52.0658184409674,1.65786609950192,0.387407971635237,4.27938044874018,1.87414271979688e-05,3.34039777913035e-05,"SAUSA300_RS00295",NA,NA
"SAUSA300_RS00300",61.0605897195608,1.60910034627787,0.363990730987835,4.42071791748908,9.83735226176683e-06,1.78357897808344e-05,"SAUSA300_RS00300",NA,NA
"SAUSA300_RS00310",1308.72350204938,2.64496715564725,0.166664781430537,15.8699824458692,1.02269485165837e-56,9.11984075653444e-56,"arcC","ArcR","arcCDBA"
"SAUSA300_RS00315",1002.6818640028,2.75693360144659,0.185568289367362,14.8567064493913,6.29444987007125e-50,4.7402438833861e-49,"argF",NA,NA
"SAUSA300_RS00320",264.785863400466,2.63908818311779,0.21183052288906,12.4584887348833,1.25730658695534e-35,6.75291434561674e-35,"SAUSA300_RS00320",NA,NA
"SAUSA300_RS00325",797.168428440723,1.39479721776909,0.168521224720267,8.27668574142134,1.26650889576751e-16,3.82951936298272e-16,"arcD","ArcR","arcCDBA"
"SAUSA300_RS00335",114.761076122188,1.49907528562206,0.313452921475315,4.78245753322838,1.73164978447198e-06,3.29776558954697e-06,"SAUSA300_RS00335",NA,NA
"SAUSA300_RS00340",3249.79599576456,2.49306075475637,0.238224506065871,10.4651733607415,1.24847793303145e-25,5.01713092115214e-25,"SAUSA300_RS00340",NA,NA
"SAUSA300_RS00355",3371.07492204445,3.51593811030651,0.173064206254123,20.3158017848231,9.32154836932507e-92,1.57736321502615e-90,"SAUSA300_RS00355",NA,NA
"SAUSA300_RS00365",526.313900815461,1.57528820367621,0.179999900977485,8.75160594601244,2.10337746960177e-18,6.7601685493265e-18,"SAUSA300_RS00365",NA,NA
"SAUSA300_RS00370",2538.07062868656,2.6616279435425,0.148318504131176,17.9453532054807,5.21777883300243e-72,6.18427879405224e-71,"SAUSA300_RS00370",NA,NA
"SAUSA300_RS00375",1819.26939916657,2.8279601575245,0.142370435005486,19.8633947941196,8.44076745083231e-88,1.31722865385489e-86,"SAUSA300_RS00375",NA,NA
