"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAUSA300_RS00010",10756.6976376246,-0.182267408292807,0.149702469056922,-1.21753107641466,0.223402220064821,0.263118170298567
"SAUSA300_RS00015",11635.0774247325,0.694843464996922,0.139671739231195,4.9748321945556,6.53041853363726e-07,1.28639170133149e-06
"SAUSA300_RS00020",1913.3160210316,0.592887663339996,0.205458531198645,2.88568043332681,0.00390568511318324,0.00577728777405567
"SAUSA300_RS00025",9412.6003232195,0.163891382986699,0.151907656238303,1.07888823410979,0.280637554546278,0.323608740033044
"SAUSA300_RS00030",17472.8565391882,0.255004379702663,0.157175484969099,1.62241827822448,0.104713818092086,0.129863626940694
"SAUSA300_RS00035",22821.7795228175,0.249077350826465,0.170031864217486,1.46488631394333,0.142951937382938,0.173456584064221
"SAUSA300_RS00040",2155.70701647131,-1.89872108290662,0.196786918431533,-9.64861433900256,4.9824396556682e-22,1.80356610731598e-21
"SAUSA300_RS00045",573.406303537576,0.536170170967043,0.181714782280041,2.95061394697515,0.00317143039233683,0.00473355365147405
"SAUSA300_RS00050",2352.23024659519,0.375761308935928,0.175658689124899,2.13915583002415,0.0324230500830301,0.0432256040262134
"SAUSA300_RS00055",490.931222625458,-1.05903705294977,0.20582393978846,-5.14535410233727,2.67016656860415e-07,5.38083481475742e-07
"SAUSA300_RS00060",286.192805910452,-0.570051621025753,0.228300759785775,-2.49693264954816,0.0125272747123556,0.0174549179895867
"SAUSA300_RS00065",959.681805555443,-0.00531190881672027,0.144353992209231,-0.0367977964130082,0.970646231067855,0.975058574395508
"SAUSA300_RS00070",4151.55089515058,0.069015158098538,0.13740297662378,0.502282845643926,0.615468574276673,0.657858152642
"SAUSA300_RS00075",16426.0054016493,-0.172520429816325,0.139674454116356,-1.23516093839613,0.216770613607904,0.256166871529072
"SAUSA300_RS00080",4688.2173596799,0.0832449087337859,0.13876636554888,0.599892548922187,0.548577848493921,0.59450431189021
"SAUSA300_RS00085",12083.8215367851,9.6814770615047e-05,0.147639176454881,0.000655752578277445,0.999476785179584,0.999944789102261
"SAUSA300_RS00090",6329.68549763572,-3.93728696926631,0.193871824523414,-20.3087115879018,1.07692412342058e-91,1.8114250674781e-90
"SAUSA300_RS00095",15.0369389836467,-3.46514116581748,0.866363430692053,-3.99963923113597,6.34391169289642e-05,0.00010899111893178
"SAUSA300_RS00100",13.0694324510807,-3.5467605382321,0.964695161432358,-3.67656092828946,0.000236399412722984,0.000390615264905213
"SAUSA300_RS00105",3728.40087765621,1.27260003393133,0.139318874733745,9.13444094609165,6.57455820237628e-20,2.22237472809567e-19
"SAUSA300_RS00110",9130.5043187006,1.33078287724846,0.144776258778995,9.19199659165068,3.85616298601116e-20,1.31455847423609e-19
"SAUSA300_RS00115",8299.7001082456,1.22155294390321,0.144477906353151,8.45494632873021,2.79215752589387e-17,8.62835037429688e-17
"SAUSA300_RS00120",5670.48021579897,1.05401994311833,0.149422313292317,7.05396617074406,1.73888671405284e-12,4.40842308643901e-12
"SAUSA300_RS00125",1271.47636648999,0.213359203401988,0.162434326199996,1.31351056388962,0.1890109636111,0.225161915514665
"SAUSA300_RS00130",666.804384061686,-2.10365279390291,0.225539565650972,-9.3272006968319,1.08703895171722e-20,3.75121918350575e-20
"SAUSA300_RS00135",544.980377716682,-0.408277914901251,0.199461425024844,-2.04690162446397,0.0406677445750308,0.053581470221042
"SAUSA300_RS00140",1619.13154925662,0.253216042310174,0.151494656540659,1.67145197125956,0.0946324378343206,0.11798602657639
"SAUSA300_RS00145",2570.19553135805,-0.49152552575859,0.14364561287531,-3.42179281302,0.000622096989509649,0.000990629503136397
"SAUSA300_RS14955",337.239296679572,0.0755495555246317,0.24185397322096,0.3123767392302,0.754754225941318,0.787264990965155
"SAUSA300_RS00155",802.030434323665,1.28449959269392,0.174155320856018,7.37559775021671,1.63609304806713e-13,4.34795210219544e-13
"SAUSA300_RS00160",233.778814366986,-0.319108208393649,0.214910461505167,-1.48484259983768,0.137585524242391,0.167523943475022
"SAUSA300_RS00165",5034.72188171262,-0.0266165623450261,0.139703340752022,-0.190522017596353,0.84890009161162,0.872506533968913
"SAUSA300_RS00170",4715.09986995353,0.72974217771129,0.149664824727549,4.87584293129476,1.08344794428124e-06,2.08738359086832e-06
"SAUSA300_RS00185",28.0159889640517,0.409986285718286,0.480393384297091,0.853438659065166,0.393416090735467,0.439580667810632
"SAUSA300_RS00190",12.8088573104664,1.77497203571314,0.84731845387959,2.09481102127085,0.0361877949951701,0.0478075998604743
"SAUSA300_RS00195",19.1443347060785,0.0925726145239346,0.631976930129145,0.146481002882522,0.883541685658666,0.904141564668558
"SAUSA300_RS00200",1355.19706515625,1.30839632284297,0.151926107390695,8.61205717249294,7.17610380234098e-18,2.27256770921937e-17
"SAUSA300_RS00205",766.400648755124,0.718228652108227,0.194713428776267,3.68864467449493,0.000225451816446996,0.000373404570990337
"SAUSA300_RS00210",434.329196252486,-0.265498049085405,0.1810589432336,-1.46636252451149,0.142549550130752,0.173043079653103
"SAUSA300_RS00215",45.7866226657577,-0.369042467205383,0.386393985362185,-0.955093715704353,0.339530306679197,0.384883224964433
"SAUSA300_RS00220",544.656634089195,1.44822542541064,0.194670894412825,7.43935260470672,1.01179923312033e-13,2.71975506778469e-13
"SAUSA300_RS00225",3726.10384821785,1.57999456678312,0.151483237292229,10.4301610859762,1.80581893562405e-25,7.23615604874173e-25
"SAUSA300_RS15865",6.68315040309329,-3.9672471578178,1.3897932586043,-2.85455921825518,0.00430965963295749,0.00634739760721153
"SAUSA300_RS00240",40.2890990901709,-0.760506857365648,0.417607603061401,-1.82110395450303,0.0685910562836014,0.0873401074798896
